id,name,position,team
17826,Noah Spence,"[u'DE', u'EDR']",TB
9701,Will Blackmon,[u'S'],Wsh
12423,Darius Butler,[u'CB'],Ind
14036,Jabaal Sheard,"[u'LB', u'EDR']",Ind
15841,Johnathan Hankins,[u'DT'],Ind
17541,David Parry,[u'DT'],Ind
17665,Dorial Green-Beckham,[u'WR'],Phi
16055,Benny Cunningham,[u'RB'],Chi
3609,Josh McCown,[u'QB'],NYJ
9354,Robbie Gould,[u'K'],SF
13395,Reshad Jones,[u'S'],Mia
17635,Danny Shelton,[u'DT'],Cle
17788,Rontez Miles,[u'S'],NYJ
13958,Andrew Hawkins,[u'WR'],Cle
18077,Jalin Marshall,[u'WR'],NYJ
15812,Desmond Trufant,[u'CB'],Atl
16721,Dominique Easley,[u'DT'],LAR
17694,Dante Fowler Jr.,"[u'DE', u'EDR']",Jax
18012,David Irving,[u'DT'],Dal
17752,Corey Grant,[u'RB'],Jax
15974,Dion Sims,[u'TE'],Chi
4463,Terence Newman,[u'CB'],Min
13443,Perry Riley Jr.,[u'LB'],Oak
14143,Da'Norris Searcy,[u'S'],Ten
17618,Jalen Collins,[u'CB'],Atl
17195,Trey Burton,[u'TE'],Phi
17755,Lucky Whitehead,[u'WR'],NYJ
15002,Brandon Marshall,[u'LB'],Den
15851,Tyrann Mathieu,[u'CB'],Ari
15875,Brandon Williams,[u'DT'],Bal
15934,Vince Williams,[u'LB'],Pit
16227,Russell Shepard,[u'WR'],Car
16785,Tim Jernigan,[u'DT'],Phi
12438,Clay Matthews,"[u'LB', u'EDR']",GB
11288,Jason Jones,[u'DE'],NO
12762,Michael Bennett,"[u'DE', u'EDR']",Sea
15916,Devin Taylor,"[u'DE', u'EDR']",NYG
17862,Jordan Jenkins,"[u'LB', u'EDR']",NYJ
17889,Nick Kwiatkoski,[u'LB'],Chi
16749,Charles Sims,[u'RB'],TB
12587,Jordan Norwood,[u'WR'],Den
17145,Brandon Coleman,[u'WR'],NO
13851,Albert McClellan,"[u'LB', u'EDR']",Bal
17777,Will Tye,[u'TE'],NYG
15653,Jamize Olawale,[u'RB'],Oak
17542,Justin Hardy,[u'WR'],Atl
4680,Josh Brown,[u'K'],NYG
10527,Charles L. Johnson,"[u'DE', u'EDR']",Car
16528,Benson Mayowa,"[u'DE', u'EDR']",Dal
14994,Mike Daniels,[u'DT'],GB
